time, AccX, AccY, AccZ, EulerX, EulerY, EulerZ
09:39:38:868,0.050,0.000,-0.110,-97.640,-63.660,-4.250
09:39:38:901,0.050,0.000,-0.110,-97.640,-63.660,-4.250
09:39:38:934,0.050,0.000,-0.110,-97.640,-63.660,-4.250
09:39:38:968,-0.010,0.030,-0.140,-95.770,-61.780,-2.750
09:39:39:002,-0.020,0.000,-0.140,-98.440,-62.420,0.530
09:39:39:034,0.000,-0.040,-0.140,-98.300,-61.540,0.760
09:39:39:068,0.030,-0.020,-0.120,-97.690,-58.950,-0.900
09:39:39:101,0.010,-0.010,-0.120,-96.390,-56.850,-2.580
09:39:39:135,0.010,-0.010,-0.120,-96.390,-56.850,-2.580
09:39:39:168,0.010,-0.010,-0.120,-96.390,-56.850,-2.580
09:39:39:201,0.020,-0.020,-0.110,-96.900,-56.870,-0.550
09:39:39:234,0.050,-0.020,-0.090,-96.160,-55.350,-1.390
09:39:39:268,0.030,-0.010,-0.100,-95.140,-53.430,-3.450
09:39:39:301,0.040,-0.020,-0.070,-95.530,-51.870,-1.500
09:39:39:334,0.040,-0.020,-0.070,-95.530,-51.870,-1.500
09:39:39:368,0.040,-0.020,-0.070,-95.530,-51.870,-1.500
09:39:39:401,0.040,0.010,-0.050,-93.790,-51.830,-2.920
09:39:39:434,0.020,0.000,-0.030,-92.590,-49.650,-2.400
09:39:39:468,-0.030,0.000,0.000,-91.180,-47.850,-1.610
09:39:39:501,-0.010,0.030,0.010,-89.310,-46.170,2.120
09:39:39:534,-0.010,0.030,0.010,-89.310,-46.170,2.120
09:39:39:567,-0.010,0.030,0.010,-89.310,-46.170,2.120
09:39:39:601,0.060,-0.080,-0.060,-88.920,-43.290,-0.140
09:39:39:634,0.220,-0.100,0.000,-93.540,-37.120,-3.290
09:39:39:667,0.120,-0.060,-0.100,-89.990,-34.160,-12.330
09:39:39:701,0.120,0.000,-0.120,-95.990,-34.190,-5.390
09:39:39:734,0.120,0.000,-0.120,-95.990,-34.190,-5.390
09:39:39:767,0.120,0.000,-0.120,-95.990,-34.190,-5.390
09:39:39:801,0.180,-0.030,-0.090,-97.320,-33.590,-7.710
09:39:39:834,0.170,-0.020,-0.080,-94.490,-31.320,-10.920
09:39:39:867,0.130,-0.020,-0.050,-94.170,-29.800,-9.560
09:39:39:901,0.150,0.010,-0.040,-92.420,-28.210,-7.540
09:39:39:934,0.150,0.010,-0.040,-92.420,-28.210,-7.540
09:39:39:967,0.150,0.010,-0.040,-92.420,-28.210,-7.540
09:39:40:000,0.180,0.010,-0.040,-92.880,-23.760,-9.450
09:39:40:034,0.160,-0.020,-0.070,-92.950,-18.630,-10.600
09:39:40:067,0.140,0.010,-0.060,-94.240,-16.650,-8.760
09:39:40:100,0.180,0.030,-0.040,-93.490,-13.760,-7.880
09:39:40:133,0.180,0.030,-0.040,-93.490,-13.760,-7.880
09:39:40:167,0.180,0.030,-0.040,-93.490,-13.760,-7.880
09:39:40:199,0.190,0.020,-0.050,-92.360,-11.060,-11.300
09:39:40:233,0.180,0.050,-0.040,-93.300,-5.930,-10.650
09:39:40:267,0.210,0.030,-0.020,-92.590,-3.580,-10.640
09:39:40:300,0.220,0.040,-0.020,-90.360,-1.220,-12.300
09:39:40:333,0.220,0.040,-0.020,-90.360,-1.220,-12.300
09:39:40:367,0.220,0.040,-0.020,-90.360,-1.220,-12.300
09:39:40:400,0.210,0.030,-0.010,-91.240,3.600,-12.330
09:39:40:433,0.200,0.040,0.000,-90.120,8.180,-11.740
09:39:40:467,0.230,0.040,0.000,-89.620,8.970,-11.320
09:39:40:500,0.130,-0.220,-0.140,-90.010,11.360,-13.440
09:39:40:533,0.130,-0.220,-0.140,-90.010,11.360,-13.440
09:39:40:567,0.130,-0.220,-0.140,-90.010,11.360,-13.440
09:39:40:600,-0.020,-0.160,-0.090,-96.070,12.010,-7.470
09:39:40:633,-0.020,-0.160,-0.090,-96.070,12.010,-7.470
09:39:40:667,0.140,-0.030,-0.080,-93.850,10.520,1.230
09:39:40:700,0.060,-0.060,-0.130,-93.780,4.570,-9.310
09:39:40:733,0.020,0.020,-0.140,-97.450,5.980,-2.110
09:39:40:766,0.020,0.020,-0.140,-97.450,5.980,-2.110
09:39:40:800,0.040,-0.010,-0.100,-98.100,8.790,-0.570
09:39:40:833,0.020,0.000,-0.110,-94.830,5.470,-2.700
09:39:40:866,0.010,0.000,-0.130,-96.710,5.980,-0.310
09:39:40:900,0.000,-0.020,-0.120,-97.690,10.320,-0.420
09:39:40:933,0.000,-0.020,-0.120,-97.690,10.320,-0.420
09:39:40:966,0.000,-0.020,-0.120,-97.690,10.320,-0.420
09:39:41:000,0.030,-0.020,-0.110,-96.450,10.830,-0.200
09:39:41:032,0.020,-0.010,-0.140,-96.550,11.300,-1.960
09:39:41:066,0.010,0.020,-0.120,-98.330,14.140,-0.620
09:39:41:100,-0.010,-0.010,-0.130,-96.680,16.820,-0.890
09:39:41:132,-0.010,-0.010,-0.130,-96.680,16.820,-0.890
09:39:41:166,-0.010,-0.010,-0.130,-96.680,16.820,-0.890
09:39:41:199,-0.020,-0.020,-0.140,-97.770,16.520,0.400
09:39:41:232,-0.020,-0.030,-0.130,-98.380,20.120,0.440
09:39:41:266,0.000,-0.040,-0.140,-97.400,21.860,0.350
09:39:41:299,-0.010,-0.060,-0.110,-97.950,23.780,-0.760
09:39:41:333,-0.010,-0.060,-0.110,-97.950,23.780,-0.760
09:39:41:366,-0.010,-0.060,-0.110,-97.950,23.780,-0.760
09:39:41:399,0.000,-0.020,-0.150,-96.110,26.070,0.530
09:39:41:432,0.020,0.010,-0.130,-99.300,29.480,-0.270
09:39:41:466,-0.010,0.060,-0.120,-97.270,33.180,-1.810
09:39:41:499,-0.120,0.040,-0.070,-96.670,32.220,0.360
09:39:41:532,-0.120,0.040,-0.070,-96.670,32.220,0.360
09:39:41:566,-0.120,0.040,-0.070,-96.670,32.220,0.360
09:39:41:599,-0.140,0.010,-0.040,-92.800,35.660,7.250
09:39:41:632,0.030,-0.100,-0.060,-91.580,36.740,8.090
09:39:41:666,0.170,-0.060,-0.020,-94.440,39.360,-2.550
09:39:41:698,0.170,-0.060,-0.020,-94.440,39.360,-2.550
09:39:41:732,0.170,-0.060,-0.020,-94.440,39.360,-2.550
09:39:41:766,0.100,-0.020,-0.120,-90.830,43.810,-10.510
09:39:41:799,0.150,-0.020,-0.140,-96.950,52.900,-3.220
09:39:41:832,0.120,-0.010,-0.120,-98.860,65.630,-9.110
09:39:41:865,0.190,-0.030,-0.120,-96.200,57.080,-6.110
09:39:41:899,0.140,-0.040,-0.120,-97.170,65.090,-11.450
09:39:41:932,0.140,-0.040,-0.120,-97.170,65.090,-11.450
09:39:41:965,0.140,-0.040,-0.120,-97.170,65.090,-11.450
09:39:41:999,0.120,0.000,-0.140,-96.560,64.470,-7.150
09:39:42:032,0.120,-0.010,-0.130,-97.950,72.600,-7.100
09:39:42:065,0.120,0.000,-0.140,-97.160,69.260,-7.030
09:39:42:099,0.120,0.010,-0.120,-98.710,68.780,-6.890
09:39:42:132,0.120,0.010,-0.120,-98.710,68.780,-6.890
09:39:42:165,0.120,0.010,-0.120,-98.710,68.780,-6.890
09:39:42:198,0.220,0.040,-0.060,-96.620,71.270,-7.600
09:39:42:232,0.210,-0.020,-0.080,-93.550,72.530,-13.930
09:39:42:265,0.120,-0.030,-0.120,-94.450,77.240,-11.030
09:39:42:298,0.160,0.000,-0.100,-96.230,86.590,-5.730
09:39:42:332,0.160,0.000,-0.100,-96.230,86.590,-5.730
09:39:42:365,0.160,0.000,-0.100,-96.230,86.590,-5.730
09:39:42:398,0.230,0.050,-0.060,-95.250,84.020,-9.820
09:39:42:431,0.200,0.030,-0.080,-93.050,78.170,-13.830
09:39:42:464,0.160,0.030,-0.090,-94.970,86.270,-10.660
09:39:42:498,0.200,0.060,-0.020,-95.260,90.400,-8.200
09:39:42:531,0.200,0.060,-0.020,-95.260,90.400,-8.200
09:39:42:565,0.200,0.060,-0.020,-95.260,90.400,-8.200
09:39:42:598,0.250,0.030,0.020,-90.170,86.260,-11.260
09:39:42:631,0.240,0.020,0.030,-87.920,84.250,-14.360
09:39:42:665,0.090,-0.320,-0.170,-88.240,86.790,-13.500
09:39:42:698,-0.050,-0.140,-0.080,-94.430,86.520,-8.370
09:39:42:731,-0.050,-0.140,-0.080,-94.430,86.520,-8.370
09:39:42:765,-0.050,-0.140,-0.080,-94.430,86.520,-8.370
09:39:42:798,0.060,-0.090,-0.060,-93.770,82.660,2.870
09:39:42:831,-0.050,0.010,-0.160,-92.360,76.350,-3.730
09:39:42:865,-0.020,0.060,-0.180,-102.080,64.010,2.080
09:39:42:898,-0.010,0.000,-0.150,-101.030,72.160,0.610
09:39:42:931,-0.010,0.000,-0.150,-101.030,72.160,0.610
09:39:42:964,-0.010,0.000,-0.150,-101.030,72.160,0.610
09:39:42:998,-0.070,0.000,-0.160,-97.650,62.610,0.750
09:39:43:031,-0.080,-0.010,-0.160,-99.240,65.040,4.470
09:39:43:064,0.000,0.000,-0.160,-98.990,67.350,4.130
09:39:43:098,0.010,-0.050,-0.140,-98.540,63.990,-1.250
09:39:43:131,0.010,-0.050,-0.140,-98.540,63.990,-1.250
09:39:43:164,0.010,-0.050,-0.140,-98.540,63.990,-1.250
09:39:43:198,0.000,-0.030,-0.120,-97.340,67.010,-0.730
09:39:43:231,0.010,0.000,-0.120,-97.090,74.040,-0.230
09:39:43:264,0.000,-0.010,-0.100,-97.160,74.920,-0.990
09:39:43:298,0.010,0.000,-0.100,-95.730,74.810,-0.320
09:39:43:331,0.010,0.000,-0.100,-95.730,74.810,-0.320
09:39:43:364,0.010,0.000,-0.100,-95.730,74.810,-0.320
09:39:43:397,-0.010,-0.010,-0.100,-95.710,77.590,-0.830
09:39:43:431,-0.040,0.000,-0.080,-95.480,76.990,0.440
09:39:43:464,-0.010,0.010,-0.050,-93.920,78.710,2.150
09:39:43:497,0.000,0.030,0.000,-92.250,79.700,-0.130
09:39:43:531,0.000,0.030,0.000,-92.250,79.700,-0.130
09:39:43:564,0.000,0.030,0.000,-92.250,79.700,-0.130
09:39:43:596,0.000,0.040,0.020,-89.360,79.380,-0.380
09:39:43:631,0.000,-0.040,-0.040,-88.300,82.130,-0.500
09:39:43:664,0.270,-0.290,-0.060,-91.900,85.200,0.750
09:39:43:697,0.030,0.000,-0.120,-92.480,88.940,-7.090
09:39:43:731,0.030,0.000,-0.120,-92.480,88.940,-7.090
09:39:43:764,0.030,0.000,-0.120,-92.480,88.940,-7.090
09:39:43:797,0.080,-0.010,-0.140,-96.720,88.860,-0.620
09:39:43:830,0.200,0.000,-0.140,-98.100,97.000,-5.110
09:39:43:864,0.160,0.020,-0.160,-96.280,89.320,-12.520
09:39:43:897,0.120,-0.020,-0.120,-99.350,98.200,-7.880
09:39:43:930,0.120,-0.020,-0.120,-99.350,98.200,-7.880
09:39:43:964,0.120,-0.020,-0.120,-99.350,98.200,-7.880
09:39:43:996,0.180,-0.010,-0.070,-95.510,107.420,-7.470
09:39:44:030,0.150,-0.040,-0.080,-93.460,101.900,-10.770
09:39:44:064,0.120,0.020,-0.070,-94.710,100.220,-8.080
09:39:44:097,0.140,0.030,-0.060,-94.180,104.980,-6.710
09:39:44:130,0.140,0.030,-0.060,-94.180,104.980,-6.710
09:39:44:163,0.140,0.030,-0.060,-94.180,104.980,-6.710
09:39:44:196,0.150,0.040,-0.050,-93.230,101.750,-8.240
09:39:44:230,0.200,0.040,0.000,-92.910,101.360,-9.020
09:39:44:263,0.210,0.020,-0.010,-89.860,104.010,-12.070
09:39:44:296,0.200,0.020,0.000,-90.550,106.160,-11.670
09:39:44:330,0.200,0.020,0.000,-90.550,106.160,-11.670
09:39:44:363,0.200,0.020,0.000,-90.550,106.160,-11.670
09:39:44:397,0.200,0.040,0.030,-89.660,106.430,-11.260
09:39:44:430,0.210,0.020,0.060,-87.710,105.430,-11.050
09:39:44:463,0.180,0.000,0.070,-85.930,104.690,-11.570
09:39:44:496,0.160,-0.090,0.030,-85.970,102.490,-9.300
09:39:44:530,0.160,-0.090,0.030,-85.970,102.490,-9.300
09:39:44:563,0.160,-0.090,0.030,-85.970,102.490,-9.300
09:39:44:596,-0.080,-0.240,-0.020,-89.300,97.920,-8.600
09:39:44:629,0.110,0.080,-0.040,-91.490,94.360,1.380
09:39:44:663,-0.030,0.000,-0.090,-93.000,94.020,-6.890
09:39:44:696,-0.080,0.070,-0.140,-98.460,81.520,2.490
09:39:44:730,-0.080,0.070,-0.140,-98.460,81.520,2.490
09:39:44:763,-0.080,0.070,-0.140,-98.460,81.520,2.490
09:39:44:796,-0.030,-0.020,-0.120,-98.830,89.560,4.880
09:39:44:829,-0.040,-0.010,-0.140,-95.790,80.420,1.020
09:39:44:863,-0.060,-0.010,-0.140,-98.900,76.760,2.530
09:39:44:896,0.000,0.000,-0.130,-98.130,83.420,3.360
09:39:44:929,0.000,0.000,-0.130,-98.130,83.420,3.360
09:39:44:962,0.000,0.000,-0.130,-98.130,83.420,3.360
09:39:44:996,0.030,-0.020,-0.140,-97.330,81.250,-0.870
09:39:45:029,0.010,-0.040,-0.120,-98.640,83.110,-1.830
09:39:45:062,0.020,-0.020,-0.130,-96.580,90.230,-0.480
09:39:45:096,0.020,-0.020,-0.130,-96.580,90.230,-0.480
09:39:45:128,0.020,0.000,-0.130,-97.660,90.100,-1.600
09:39:45:163,0.020,0.000,-0.130,-97.660,90.100,-1.600
09:39:45:196,0.010,0.010,-0.100,-97.600,90.050,-0.800
09:39:45:229,0.010,0.020,-0.080,-95.230,94.100,-0.720
09:39:45:262,0.020,0.010,-0.030,-94.230,93.690,-0.650
09:39:45:295,-0.010,0.000,-0.020,-90.850,91.970,-1.210
09:39:45:329,-0.010,0.000,-0.020,-90.850,91.970,-1.210
09:39:45:362,-0.010,0.000,-0.020,-90.850,91.970,-1.210
09:39:45:396,-0.030,0.050,0.000,-90.390,93.790,0.960
09:39:45:429,-0.010,0.020,0.010,-89.530,95.540,1.360
09:39:45:462,0.000,-0.030,-0.050,-88.770,91.840,0.110
09:39:45:496,0.000,-0.030,-0.050,-88.770,91.840,0.110
09:39:45:529,0.210,-0.290,-0.080,-92.830,94.060,0.400
09:39:45:562,0.210,-0.290,-0.080,-92.830,94.060,0.400
09:39:45:596,0.040,-0.050,-0.120,-93.280,99.060,-6.000
09:39:45:629,0.080,-0.030,-0.150,-96.530,101.490,-1.660
09:39:45:662,0.130,-0.020,-0.140,-99.190,108.710,-4.640
09:39:45:695,0.130,0.010,-0.160,-97.570,105.710,-8.150
09:39:45:728,0.130,0.010,-0.160,-97.570,105.710,-8.150
09:39:45:762,0.130,0.010,-0.160,-97.570,105.710,-8.150
09:39:45:795,0.210,-0.020,-0.100,-99.050,117.140,-7.290
09:39:45:829,0.220,-0.020,-0.100,-95.540,118.620,-12.740
09:39:45:862,0.120,0.000,-0.120,-96.130,119.880,-11.900
09:39:45:895,0.120,0.000,-0.120,-96.130,119.880,-11.900
09:39:45:929,0.120,0.040,-0.100,-96.730,124.220,-5.690
09:39:45:962,0.120,0.040,-0.100,-96.730,124.220,-5.690
09:39:45:995,0.180,0.020,-0.100,-95.830,127.210,-7.730
09:39:46:029,0.160,0.010,-0.090,-95.560,118.790,-10.820
09:39:46:062,0.160,0.020,-0.080,-95.170,119.560,-8.650
09:39:46:095,0.160,0.010,-0.050,-94.420,124.780,-9.300
09:39:46:129,0.160,0.010,-0.050,-94.420,124.780,-9.300
09:39:46:162,0.160,0.010,-0.050,-94.420,124.780,-9.300
09:39:46:195,0.180,0.000,-0.040,-92.690,122.370,-9.080
09:39:46:228,0.170,0.010,-0.030,-91.750,119.900,-10.460
09:39:46:261,0.160,0.020,0.000,-91.520,116.510,-9.330
09:39:46:295,0.160,0.020,0.000,-91.520,116.510,-9.330
09:39:46:328,0.170,0.050,0.020,-89.690,119.040,-9.280
09:39:46:362,0.170,0.050,0.020,-89.690,119.040,-9.280
09:39:46:395,0.190,0.050,0.050,-88.640,117.010,-9.610
09:39:46:428,0.080,-0.320,-0.180,-86.510,110.630,-10.850
09:39:46:461,-0.060,-0.090,-0.030,-93.670,109.880,-7.100
09:39:46:495,0.090,-0.140,-0.040,-90.210,110.440,4.280
09:39:46:528,0.090,-0.140,-0.040,-90.210,110.440,4.280
09:39:46:562,0.090,-0.140,-0.040,-90.210,110.440,4.280
09:39:46:594,-0.070,-0.020,-0.160,-91.730,107.270,-5.130
09:39:46:628,-0.100,0.080,-0.200,-102.680,90.820,2.140
09:39:46:661,-0.020,0.000,-0.150,-101.740,102.640,5.910
09:39:46:695,-0.020,0.000,-0.150,-101.740,102.640,5.910
09:39:46:728,0.010,-0.020,-0.170,-97.350,100.050,0.220
09:39:46:761,0.010,-0.020,-0.170,-97.350,100.050,0.220
09:39:46:795,0.010,-0.030,-0.160,-99.820,91.000,-1.390
09:39:46:828,0.000,0.000,-0.150,-98.810,100.060,-0.780
09:39:46:861,0.010,0.000,-0.140,-98.360,107.960,-0.140
09:39:46:894,0.050,-0.020,-0.110,-97.770,107.890,-0.820
09:39:46:928,0.050,-0.020,-0.110,-97.770,107.890,-0.820
09:39:46:961,0.050,-0.020,-0.110,-97.770,107.890,-0.820
09:39:46:994,0.040,-0.010,-0.100,-95.860,102.910,-3.330
09:39:47:027,0.010,-0.010,-0.080,-95.540,105.220,-2.360
09:39:47:061,0.000,-0.010,-0.070,-94.510,108.690,-0.210
09:39:47:094,0.000,-0.010,-0.070,-94.510,108.690,-0.210
09:39:47:127,-0.020,0.040,-0.040,-93.700,106.610,0.200
09:39:47:161,-0.020,0.040,-0.040,-93.700,106.610,0.200
09:39:47:194,-0.040,0.050,-0.010,-91.550,102.180,1.410
09:39:47:227,-0.010,0.060,0.020,-89.460,102.950,2.280
09:39:47:261,0.100,-0.170,-0.110,-88.050,103.420,0.080
09:39:47:294,0.140,-0.070,-0.080,-94.800,102.420,-4.490
09:39:47:327,0.140,-0.070,-0.080,-94.800,102.420,-4.490
09:39:47:361,0.140,-0.070,-0.080,-94.800,102.420,-4.490
09:39:47:394,0.020,-0.160,-0.130,-93.340,103.540,-8.290
09:39:47:427,0.070,0.000,-0.170,-94.660,113.520,-0.930
09:39:47:461,0.120,0.040,-0.150,-101.720,121.310,-4.120
09:39:47:494,0.120,0.040,-0.150,-101.720,121.310,-4.120
09:39:47:527,0.140,0.020,-0.120,-97.480,109.420,-6.980
09:39:47:560,0.140,0.020,-0.120,-97.480,109.420,-6.980
09:39:47:594,0.200,-0.020,-0.080,-97.320,120.080,-8.340
09:39:47:627,0.160,-0.040,-0.060,-94.610,124.160,-12.130
09:39:47:660,0.110,-0.010,-0.100,-92.860,127.980,-8.700
09:39:47:693,0.130,0.020,-0.080,-96.550,127.540,-5.640
09:39:47:726,0.130,0.020,-0.080,-96.550,127.540,-5.640
09:39:47:760,0.130,0.020,-0.080,-96.550,127.540,-5.640
09:39:47:793,0.160,0.040,-0.070,-94.410,123.070,-7.790
09:39:47:827,0.180,0.040,-0.060,-94.230,127.140,-9.910
09:39:47:860,0.180,0.010,-0.060,-93.460,125.760,-10.470
09:39:47:893,0.180,0.010,-0.060,-93.460,125.760,-10.470
09:39:47:926,0.170,-0.010,-0.030,-93.160,126.910,-10.280
09:39:47:960,0.170,-0.010,-0.030,-93.160,126.910,-10.280
09:39:47:993,0.200,0.020,-0.010,-91.250,128.050,-9.250
09:39:48:027,0.220,0.010,0.010,-90.020,128.820,-12.160
09:39:48:060,0.180,0.040,0.010,-89.140,121.670,-12.450
09:39:48:093,0.120,-0.140,-0.060,-88.950,122.230,-10.430
09:39:48:126,0.120,-0.140,-0.060,-88.950,122.230,-10.430
09:39:48:160,0.120,-0.140,-0.060,-88.950,122.230,-10.430
09:39:48:193,0.000,-0.020,-0.100,-93.870,120.480,-6.360
09:39:48:227,0.060,-0.060,-0.050,-96.100,117.820,1.400
09:39:48:260,-0.020,0.010,-0.100,-91.880,112.770,-4.160
09:39:48:293,-0.020,0.010,-0.100,-91.880,112.770,-4.160
09:39:48:327,0.010,0.040,-0.100,-97.450,104.500,1.800
09:39:48:360,0.010,0.040,-0.100,-97.450,104.500,1.800
09:39:48:393,0.010,0.020,-0.080,-95.930,112.460,-1.340
09:39:48:426,0.000,0.000,-0.100,-94.370,106.170,-0.650
09:39:48:460,0.010,-0.040,-0.090,-95.960,110.020,0.200
09:39:48:493,-0.020,0.000,-0.100,-95.150,110.320,-0.430
09:39:48:526,-0.020,0.000,-0.100,-95.150,110.320,-0.430
09:39:48:560,-0.020,0.000,-0.100,-95.150,110.320,-0.430
09:39:48:592,-0.030,0.000,-0.120,-96.170,110.580,1.200
09:39:48:626,0.000,-0.020,-0.100,-96.910,109.410,1.650
09:39:48:660,0.040,-0.010,-0.100,-95.700,106.700,-0.570
09:39:48:692,0.040,-0.010,-0.100,-95.700,106.700,-0.570
09:39:48:726,0.020,-0.010,-0.100,-95.860,109.110,-2.400
09:39:48:759,0.020,-0.010,-0.100,-95.860,109.110,-2.400
09:39:48:792,0.000,0.000,-0.080,-95.440,113.120,-0.980
09:39:48:826,-0.010,0.000,-0.060,-94.690,113.180,0.050
09:39:48:859,-0.020,0.000,-0.040,-93.250,111.710,0.680
09:39:48:892,-0.020,0.000,-0.020,-91.920,114.000,1.230
09:39:48:926,-0.020,0.000,-0.020,-91.920,114.000,1.230
09:39:48:959,-0.020,0.000,-0.020,-91.920,114.000,1.230
09:39:48:993,0.000,0.010,-0.010,-90.840,113.730,0.560
09:39:49:026,0.000,-0.020,0.000,-90.200,110.810,-0.160
09:39:49:059,0.080,-0.100,-0.060,-89.670,113.960,-0.430
09:39:49:092,0.080,-0.100,-0.060,-89.670,113.960,-0.430
09:39:49:125,0.090,-0.060,-0.040,-93.860,120.090,-4.050
09:39:49:159,0.090,-0.060,-0.040,-93.860,120.090,-4.050
09:39:49:192,0.060,-0.070,-0.100,-91.480,118.490,-5.160
09:39:49:226,0.060,-0.070,-0.100,-91.480,118.490,-5.160
09:39:49:259,0.080,-0.020,-0.100,-95.180,126.860,-2.560
09:39:49:292,0.090,0.000,-0.110,-96.150,129.050,-5.600
09:39:49:326,0.080,0.000,-0.110,-96.350,134.060,-5.350
09:39:49:359,0.080,0.000,-0.110,-96.350,134.060,-5.350
09:39:49:392,0.130,0.000,-0.080,-96.460,136.530,-5.200
09:39:49:425,0.150,0.010,-0.080,-94.640,140.640,-8.900
09:39:49:459,0.130,-0.010,-0.110,-94.670,146.920,-9.030
09:39:49:492,0.130,-0.010,-0.110,-94.670,146.920,-9.030
09:39:49:525,0.140,0.000,-0.070,-96.460,150.330,-6.980
09:39:49:559,0.140,0.000,-0.070,-96.460,150.330,-6.980
09:39:49:592,0.140,-0.010,-0.080,-93.420,148.810,-8.270
09:39:49:625,0.110,-0.020,-0.100,-95.180,154.040,-7.930
09:39:49:659,0.140,0.020,-0.060,-95.610,156.110,-6.220
09:39:49:692,0.170,0.030,-0.040,-93.060,158.420,-9.210
09:39:49:725,0.170,0.030,-0.040,-93.060,158.420,-9.210
09:39:49:758,0.170,0.030,-0.040,-93.060,158.420,-9.210
09:39:49:792,0.160,0.020,-0.030,-92.200,159.700,-10.030
09:39:49:825,0.180,0.040,-0.010,-91.550,163.510,-9.220
09:39:49:859,0.160,0.060,0.000,-89.970,167.600,-10.690
09:39:49:892,0.160,0.060,0.000,-89.970,167.600,-10.690
09:39:49:925,0.140,0.060,0.020,-89.380,165.180,-9.190
09:39:49:958,0.140,0.060,0.020,-89.380,165.180,-9.190
09:39:49:992,0.190,0.030,0.050,-88.050,165.170,-7.970
09:39:50:025,0.160,-0.200,-0.090,-86.320,167.860,-11.130
09:39:50:058,0.020,0.080,-0.050,-94.050,168.800,-8.340
09:39:50:091,0.060,-0.060,-0.110,-92.250,163.760,-1.270
09:39:50:125,0.060,-0.060,-0.110,-92.250,163.760,-1.270
09:39:50:158,0.060,-0.060,-0.110,-92.250,163.760,-1.270
09:39:50:192,0.030,0.040,-0.110,-96.950,173.390,-2.910
09:39:50:225,0.040,0.020,-0.070,-96.250,175.420,-2.240
09:39:50:258,0.010,-0.030,-0.060,-93.500,-179.420,-2.860
09:39:50:291,0.010,-0.030,-0.060,-93.500,-179.420,-2.860
09:39:50:324,0.000,0.000,-0.090,-93.360,-178.350,-0.500
09:39:50:358,0.000,0.000,-0.090,-93.360,-178.350,-0.500
09:39:50:391,0.000,0.000,-0.090,-93.360,-178.350,-0.500
09:39:50:425,0.000,0.000,-0.090,-93.360,-178.350,-0.500
09:39:50:458,0.000,0.000,-0.090,-93.360,-178.350,-0.500
09:39:50:491,-0.080,-0.020,-0.060,-94.820,-168.890,2.040
09:39:50:524,-0.050,-0.060,-0.010,-92.540,-162.730,2.700
09:39:50:558,-0.050,-0.060,-0.010,-92.540,-162.730,2.700
09:39:50:591,-0.030,-0.020,-0.030,-91.250,-155.230,1.840
09:39:50:624,-0.020,0.000,-0.020,-93.150,-151.410,1.030
09:39:50:657,-0.020,0.000,-0.020,-93.150,-151.410,1.030
09:39:50:691,-0.070,-0.010,-0.020,-91.290,-152.790,0.740
09:39:50:724,-0.150,0.020,-0.010,-92.010,-147.300,4.270
09:39:50:758,-0.150,0.020,-0.010,-92.010,-147.300,4.270
09:39:50:791,-0.030,-0.060,0.040,-90.570,-141.810,9.270
09:39:50:824,0.100,-0.130,0.000,-90.370,-136.480,0.320
09:39:50:858,0.150,0.020,-0.020,-92.470,-129.980,-5.310
09:39:50:890,0.150,0.020,-0.020,-92.470,-129.980,-5.310
09:39:50:924,0.180,0.050,-0.010,-91.730,-129.070,-9.400
09:39:50:957,0.180,0.050,-0.010,-91.730,-129.070,-9.400
09:39:50:990,0.210,0.080,0.000,-90.710,-125.690,-10.850
09:39:51:023,0.160,0.030,0.000,-89.610,-126.420,-13.140
09:39:51:057,0.160,0.030,0.000,-89.610,-126.420,-13.140
09:39:51:091,0.160,-0.020,-0.010,-89.910,-123.680,-8.330
09:39:51:124,0.140,-0.010,-0.020,-90.840,-120.450,-8.920
09:39:51:157,0.140,-0.010,-0.020,-90.840,-120.450,-8.920
09:39:51:191,0.160,0.060,-0.060,-91.010,-115.410,-7.990
09:39:51:224,0.120,0.180,-0.100,-94.300,-114.210,-9.590
09:39:51:257,-0.110,-0.210,-0.570,-97.830,-111.320,-8.230
09:39:51:291,-0.110,-0.210,-0.570,-97.830,-111.320,-8.230
09:39:51:324,-0.020,0.100,-0.230,-107.390,-107.850,-0.820
09:39:51:357,-0.020,0.100,-0.230,-107.390,-107.850,-0.820
09:39:51:390,-0.080,0.090,-0.170,-105.850,-105.510,-0.070
09:39:51:424,0.130,-0.180,-0.010,-101.320,-100.960,2.430
09:39:51:457,0.130,-0.180,-0.010,-101.320,-100.960,2.430
09:39:51:490,0.660,0.360,0.290,-96.970,-92.940,-8.510
09:39:51:524,0.430,0.410,-0.580,-74.470,-103.170,-35.980
09:39:51:557,0.430,0.410,-0.580,-74.470,-103.170,-35.980
09:39:51:590,-0.040,0.130,-0.340,-117.130,-69.490,-29.090
09:39:51:624,-0.060,0.470,-0.580,-127.170,-97.640,-6.050
09:39:51:657,-0.140,0.460,-0.140,-128.560,-92.200,-4.600
09:39:51:690,-0.140,0.460,-0.140,-128.560,-92.200,-4.600
09:39:51:723,0.220,0.540,-0.240,-121.840,-88.380,-6.620
09:39:51:757,0.220,0.540,-0.240,-121.840,-88.380,-6.620
09:39:51:790,0.660,-0.980,-0.370,-114.400,-84.730,-11.150
09:39:51:823,0.510,-0.520,-0.100,-110.260,-74.940,-14.220
09:39:51:856,0.510,-0.520,-0.100,-110.260,-74.940,-14.220
09:39:51:890,0.310,-0.370,0.540,-111.380,-70.160,-15.920
