time, AccX, AccY, AccZ, EulerX, EulerY, EulerZ
09:39:29:077,0.150,0.070,-0.180,-102.620,-85.360,-6.530
09:39:29:110,0.240,0.060,-0.120,-100.220,-84.090,-9.250
09:39:29:143,0.240,0.060,-0.120,-100.220,-84.090,-9.250
09:39:29:177,0.180,-0.090,-0.100,-96.200,-84.710,-15.000
09:39:29:209,0.180,-0.090,-0.100,-96.200,-84.710,-15.000
09:39:29:243,0.140,-0.030,-0.060,-95.360,-85.110,-8.440
09:39:29:276,0.160,0.020,-0.060,-92.650,-87.070,-7.610
09:39:29:310,0.200,0.030,-0.030,-93.440,-84.240,-9.440
09:39:29:343,0.200,0.030,-0.030,-93.440,-84.240,-9.440
09:39:29:376,0.200,0.030,-0.030,-93.440,-84.240,-9.440
09:39:29:409,0.220,0.030,-0.010,-90.920,-84.920,-12.100
09:39:29:443,0.220,0.030,-0.010,-90.920,-84.920,-12.100
09:39:29:476,0.190,-0.020,0.000,-89.950,-85.030,-12.860
09:39:29:510,0.170,-0.010,-0.020,-89.640,-86.030,-9.630
09:39:29:542,0.190,0.000,0.020,-91.180,-86.720,-9.390
09:39:29:576,0.240,-0.020,0.040,-87.560,-87.360,-10.510
09:39:29:609,0.240,-0.020,0.040,-87.560,-87.360,-10.510
09:39:29:643,0.240,-0.020,0.040,-87.560,-87.360,-10.510
09:39:29:675,-0.020,-0.380,-0.230,-88.290,-86.450,-13.330
09:39:29:709,0.070,0.110,-0.110,-94.920,-88.070,-9.200
09:39:29:743,0.070,-0.060,-0.240,-96.930,-91.390,-5.130
09:39:29:776,0.070,-0.060,-0.240,-96.930,-91.390,-5.130
09:39:29:809,-0.060,0.100,-0.270,-105.080,-89.240,-3.340
09:39:29:842,-0.070,0.050,-0.240,-106.890,-89.420,4.000
09:39:29:876,-0.070,0.050,-0.240,-106.890,-89.420,4.000
09:39:29:909,-0.070,0.030,-0.260,-103.830,-88.320,4.210
09:39:29:942,-0.090,0.040,-0.260,-105.980,-89.380,4.000
09:39:29:976,-0.060,-0.030,-0.230,-104.930,-88.900,5.350
09:39:30:009,-0.060,-0.030,-0.230,-104.930,-88.900,5.350
09:39:30:042,0.000,-0.050,-0.210,-102.790,-88.570,2.940
09:39:30:076,0.040,0.020,-0.200,-101.200,-87.820,-0.550
09:39:30:109,0.040,0.000,-0.170,-102.020,-87.760,-2.770
09:39:30:142,0.040,0.000,-0.170,-102.020,-87.760,-2.770
09:39:30:175,0.040,0.000,-0.170,-102.020,-87.760,-2.770
09:39:30:208,-0.010,0.020,-0.190,-99.590,-88.330,-1.980
09:39:30:242,-0.010,0.020,-0.190,-99.590,-88.330,-1.980
09:39:30:275,-0.020,-0.010,-0.170,-101.490,-88.270,0.850
09:39:30:309,-0.080,0.020,-0.080,-98.570,-88.840,3.560
09:39:30:342,-0.080,0.020,-0.080,-98.570,-88.840,3.560
09:39:30:375,-0.080,0.020,-0.080,-98.570,-88.840,3.560
09:39:30:408,-0.080,0.020,-0.080,-98.570,-88.840,3.560
09:39:30:442,-0.100,0.040,-0.060,-93.050,-88.040,3.900
09:39:30:475,0.060,-0.230,-0.240,-92.790,-86.660,5.800
09:39:30:509,0.240,-0.040,-0.240,-95.340,-80.620,-14.670
09:39:30:542,0.240,-0.040,-0.240,-95.340,-80.620,-14.670
09:39:30:575,0.170,0.080,-0.220,-104.430,-79.550,-12.470
09:39:30:609,0.170,0.080,-0.220,-104.430,-79.550,-12.470
09:39:30:642,0.080,0.080,-0.320,-103.320,-86.510,-9.680
09:39:30:675,0.090,0.030,-0.280,-109.540,-85.080,-3.810
09:39:30:708,0.110,0.080,-0.260,-104.400,-86.050,-5.170
09:39:30:742,0.110,0.080,-0.260,-104.400,-86.050,-5.170
09:39:30:775,0.110,0.080,-0.260,-104.400,-86.050,-5.170
09:39:30:808,0.120,0.020,-0.220,-105.400,-83.290,-6.330
09:39:30:842,0.120,-0.060,-0.230,-102.300,-84.880,-6.770
09:39:30:875,0.110,-0.020,-0.200,-102.290,-84.840,-6.340
09:39:30:908,0.160,0.060,-0.140,-100.910,-84.790,-6.040
09:39:30:942,0.160,0.060,-0.140,-100.910,-84.790,-6.040
09:39:30:975,0.210,0.080,-0.070,-97.600,-83.700,-9.840
09:39:31:008,0.210,0.080,-0.070,-97.600,-83.700,-9.840
09:39:31:042,0.210,0.080,-0.070,-97.600,-83.700,-9.840
09:39:31:075,0.250,0.130,-0.010,-94.200,-84.150,-12.470
09:39:31:108,0.280,0.160,0.020,-89.940,-85.710,-15.160
09:39:31:142,0.130,-0.210,-0.080,-87.500,-86.200,-17.690
09:39:31:175,0.130,-0.210,-0.080,-87.500,-86.200,-17.690
09:39:31:208,-0.270,-0.570,-0.050,-93.630,-88.210,-9.050
09:39:31:241,-0.010,0.020,-0.260,-93.680,-94.100,-9.410
09:39:31:274,0.000,-0.070,-0.010,-107.640,-89.050,3.410
09:39:31:308,-0.010,0.060,-0.190,-88.820,-88.690,-0.720
09:39:31:341,-0.010,0.060,-0.190,-88.820,-88.690,-0.720
09:39:31:375,0.040,-0.060,-0.090,-102.790,-86.040,1.100
09:39:31:408,0.040,-0.060,-0.090,-102.790,-86.040,1.100
09:39:31:441,0.040,-0.060,-0.090,-102.790,-86.040,1.100
09:39:31:475,0.010,-0.020,-0.120,-97.530,-87.010,-2.680
09:39:31:508,0.020,0.000,-0.140,-97.130,-88.390,-0.020
09:39:31:541,0.020,0.000,-0.140,-97.130,-88.390,-0.020
09:39:31:574,0.020,0.000,-0.140,-97.130,-88.390,-0.020
09:39:31:608,0.020,0.000,-0.140,-97.130,-88.390,-0.020
09:39:31:641,-0.010,-0.010,-0.160,-98.520,-89.310,0.630
09:39:31:674,0.010,0.000,-0.180,-99.260,-90.560,0.380
09:39:31:708,0.000,0.000,-0.210,-100.910,-89.610,-0.610
09:39:31:741,0.000,0.000,-0.210,-100.910,-89.610,-0.610
09:39:31:774,-0.040,0.010,-0.200,-102.270,-90.000,0.240
09:39:31:808,-0.040,0.010,-0.200,-102.270,-90.000,0.240
09:39:31:841,-0.030,-0.010,-0.200,-101.590,-90.370,2.280
09:39:31:874,-0.050,0.000,-0.200,-101.810,-89.660,0.990
